time,gps_lat,gps_lon,gps_alt
0,45.33380481,-93.22507886,245.9029694
0.02,45.33380481,-93.22507886,245.9029694
0.04,45.33380481,-93.22507886,245.9029694
0.06,45.33380481,-93.22507886,245.9029694
0.08,45.33380481,-93.22507886,245.9029694
0.1,45.33380481,-93.22507886,245.9029694
0.12,45.33380481,-93.22507886,245.9029694
0.14,45.33380481,-93.22507886,245.9029694
0.16,45.33380481,-93.22507886,245.9029694
0.18,45.33380481,-93.22507886,245.9029694
0.2,45.33380481,-93.22507886,245.9029694
0.22,45.33380481,-93.22507886,245.9029694
0.24,45.33380481,-93.22507886,245.9029694
0.26,45.33380481,-93.22507886,245.9029694
0.28,45.33380481,-93.22507886,245.9029694
0.3,45.33380481,-93.22507886,245.9029694
0.32,45.33380481,-93.22507886,245.9029694
0.34,45.33380481,-93.22507886,245.9029694
0.36,45.33380481,-93.22507886,245.8977814
0.38,45.33380481,-93.22507886,245.8977814
0.4,45.33380481,-93.22507886,245.8977814
0.42,45.33380481,-93.22507886,245.8977814
0.44,45.33380481,-93.22507886,245.8977814
0.46,45.33380481,-93.22507886,245.8977814
0.48,45.33380481,-93.22507886,245.8977814
0.5,45.33380481,-93.22507886,245.8977814
0.52,45.33380481,-93.22507886,245.8977814
0.54,45.33380481,-93.22507886,245.8977814
0.56,45.33380481,-93.22507886,245.8977814
0.58,45.33380481,-93.22507886,245.8977814
0.6,45.33380481,-93.22507886,245.8977814
0.62,45.33380481,-93.22507886,245.8977814
0.64,45.33380481,-93.22507886,245.8977814
0.66,45.33380481,-93.22507886,245.8977814
0.68,45.33380481,-93.22507886,245.8977814
0.7,45.33380481,-93.22507886,245.8977814
0.72,45.33380481,-93.22507886,245.8977814
0.74,45.33380481,-93.22507886,245.8977814
0.76,45.33380481,-93.22507886,245.8977814
0.78,45.33380481,-93.22507886,245.8977814
0.8,45.33380481,-93.22507886,245.8977814
0.82,45.33380481,-93.22507886,245.8977814
0.84,45.33380481,-93.22507886,245.8977814
0.86,45.33380481,-93.22507886,245.8977814
0.88,45.33380481,-93.22507886,245.8977814
0.9,45.33380481,-93.22507886,245.8977814
0.92,45.33380481,-93.22507886,245.8977814
0.94,45.33380481,-93.22507886,245.8977814
0.96,45.33380481,-93.22507886,245.8977814
0.98,45.33380481,-93.22507886,245.8977814
1,45.33380481,-93.22507886,245.8977814
1.02,45.33380481,-93.22507886,245.8977814
1.04,45.33380481,-93.22507886,245.8977814
1.06,45.33380481,-93.22507886,245.8977814
1.08,45.33380481,-93.22507886,245.8977814
1.1,45.33380481,-93.22507886,245.8977814
1.12,45.33380481,-93.22507886,245.8977814
1.14,45.33380481,-93.22507886,245.8977814
1.16,45.33380481,-93.22507886,245.8977814
1.18,45.33380481,-93.22507886,245.8977814
1.2,45.33380481,-93.22507886,245.8977814
1.22,45.33380481,-93.22507886,245.8977814
1.24,45.33380481,-93.22507886,245.8977814
1.26,45.33380481,-93.22507886,245.8977814
1.28,45.33380481,-93.22507886,245.8977814
1.3,45.33380481,-93.22507886,245.8977814
1.32,45.33380481,-93.22507886,245.8977814
1.34,45.33380481,-93.22507886,245.8977814
1.36,45.33380481,-93.22507886,245.8816986
1.38,45.33380481,-93.22507886,245.8816986
1.4,45.33380481,-93.22507886,245.8816986
1.42,45.33380481,-93.22507886,245.8816986
1.44,45.33380481,-93.22507886,245.8816986
1.46,45.33380481,-93.22507886,245.8816986
1.48,45.33380481,-93.22507886,245.8816986
1.5,45.33380481,-93.22507886,245.8816986
1.52,45.33380481,-93.22507886,245.8816986
1.54,45.33380481,-93.22507886,245.8816986
